'Elapsed time','ECG'
'seconds','mV'
0.000,-0.128
0.005,0.208
0.010,0.743
0.015,-0.120
0.020,-0.181
0.025,0.642
0.030,0.135
0.035,-0.188
0.040,0.377
0.045,0.335
0.050,-0.080
0.055,0.079
0.060,0.238
0.065,0.022
0.070,0.042
0.075,0.200
0.080,0.073
0.085,-0.010
0.090,0.097
0.095,0.113
0.100,0.062
0.105,0.053
0.110,0.016
0.115,-0.037
0.120,-0.024
0.125,0.059
0.130,0.090
0.135,0.040
0.140,0.038
0.145,0.036
0.150,-0.016
0.155,-0.021
0.160,0.036
0.165,0.068
0.170,0.040
0.175,0.059
0.180,0.050
0.185,-0.044
0.190,-0.034
0.195,0.021
0.200,0.034
0.205,0.087
0.210,0.082
0.215,-0.017
0.220,-0.059
0.225,-0.033
0.230,0.021
0.235,0.061
0.240,0.043
0.245,0.022
0.250,0.008
0.255,-0.001
0.260,0.002
0.265,-0.009
0.270,-0.013
0.275,0.003
0.280,-0.011
0.285,-0.024
0.290,-0.024
0.295,-0.022
0.300,-0.004
0.305,-0.021
0.310,-0.053
0.315,-0.069
0.320,-0.083
0.325,-0.083
0.330,-0.038
0.335,-0.029
0.340,-0.057
0.345,-0.051
0.350,-0.099
0.355,-0.101
0.360,-0.035
0.365,-0.068
0.370,-0.084
0.375,-0.015
0.380,0.001
0.385,-0.006
0.390,0.019
0.395,0.032
0.400,0.031
0.405,0.058
0.410,0.120
0.415,0.123
0.420,0.050
0.425,0.030
0.430,0.063
0.435,0.074
0.440,0.060
0.445,0.040
0.450,0.029
0.455,0.019
0.460,0.002
0.465,-0.022
0.470,-0.044
0.475,-0.096
0.480,-0.249
0.485,-0.474
0.490,-0.631
0.495,-0.536
0.500,-0.224
0.505,0.185
0.510,0.574
0.515,0.668
0.520,0.577
0.525,0.530
0.530,0.470
0.535,0.397
0.540,0.272
0.545,0.143
0.550,0.086
0.555,0.005
0.560,-0.049
0.565,-0.047
0.570,-0.049
0.575,-0.021
0.580,-0.025
0.585,-0.080
0.590,-0.058
0.595,-0.018
0.600,-0.082
0.605,-0.101
0.610,-0.051
0.615,-0.106
0.620,-0.133
0.625,-0.069
0.630,-0.045
0.635,-0.043
0.640,-0.057
0.645,-0.067
0.650,-0.087
0.655,-0.111
0.660,-0.069
0.665,-0.060
0.670,-0.071
0.675,-0.047
0.680,-0.067
0.685,-0.087
0.690,-0.086
0.695,-0.119
0.700,-0.125
0.705,-0.087
0.710,-0.066
0.715,-0.090
0.720,-0.160
0.725,-0.152
0.730,-0.078
0.735,-0.142
0.740,-0.191
0.745,-0.120
0.750,-0.107
0.755,-0.130
0.760,-0.157
0.765,-0.177
0.770,-0.145
0.775,-0.124
0.780,-0.169
0.785,-0.230
0.790,-0.181
0.795,-0.093
0.800,-0.110
0.805,-0.154
0.810,-0.113
0.815,-0.047
0.820,-0.010
0.825,0.021
0.830,0.046
0.835,0.050
0.840,0.082
0.845,0.140
0.850,0.114
0.855,0.112
0.860,0.167
0.865,0.169
0.870,0.195
0.875,0.216
0.880,0.163
0.885,0.165
0.890,0.201
0.895,0.183
0.900,0.176
0.905,0.162
0.910,0.143
0.915,0.130
0.920,0.109
0.925,0.135
0.930,0.148
0.935,0.110
0.940,0.116
0.945,0.127
0.950,0.088
0.955,0.056
0.960,0.060
0.965,0.053
0.970,0.044
0.975,0.066
0.980,0.087
0.985,0.082
0.990,0.064
0.995,0.055
1.000,0.044
1.005,-0.022
1.010,-0.028
1.015,0.056
1.020,0.044
1.025,-0.007
1.030,-0.005
1.035,-0.004
1.040,0.054
1.045,0.111
1.050,0.014
1.055,-0.062
1.060,-0.007
1.065,0.002
1.070,-0.006
1.075,0.018
1.080,-0.024
1.085,-0.049
1.090,-0.034
1.095,-0.035
1.100,0.001
1.105,0.047
1.110,0.060
1.115,0.024
1.120,-0.031
1.125,-0.034
1.130,-0.009
1.135,0.010
1.140,0.014
1.145,-0.014
1.150,-0.059
1.155,-0.080
1.160,-0.011
1.165,0.039
1.170,-0.036
1.175,-0.070
1.180,-0.029
1.185,-0.016
1.190,0.006
1.195,-0.029
1.200,-0.118
1.205,-0.086
1.210,-0.039
1.215,-0.077
1.220,-0.065
1.225,-0.052
1.230,-0.049
1.235,-0.082
1.240,-0.147
1.245,-0.067
1.250,-0.020
1.255,-0.040
1.260,-0.011
1.265,-0.103
1.270,-0.123
1.275,-0.016
1.280,-0.002
1.285,0.027
1.290,-0.001
1.295,-0.070
1.300,-0.010
1.305,0.074
1.310,0.100
1.315,0.097
1.320,0.053
1.325,0.034
1.330,0.065
1.335,0.025
1.340,0.004
1.345,0.035
1.350,0.008
1.355,-0.014
1.360,-0.011
1.365,-0.048
1.370,-0.112
1.375,-0.178
1.380,-0.383
1.385,-0.667
1.390,-0.651
1.395,-0.226
1.400,0.293
1.405,0.575
1.410,0.601
1.415,0.552
1.420,0.519
1.425,0.423
1.430,0.337
1.435,0.252
1.440,0.118
1.445,0.091
1.450,0.032
1.455,-0.085
1.460,-0.062
1.465,-0.077
1.470,-0.137
1.475,-0.056
1.480,-0.026
1.485,-0.074
1.490,-0.113
1.495,-0.117
1.500,-0.059
1.505,-0.035
1.510,-0.093
1.515,-0.174
1.520,-0.109
1.525,-0.022
1.530,-0.064
1.535,-0.067
1.540,-0.045
1.545,-0.086
1.550,-0.184
1.555,-0.171
1.560,0.009
1.565,0.052
1.570,-0.029
1.575,-0.107
1.580,-0.182
1.585,-0.139
1.590,-0.008
1.595,0.004
1.600,-0.148
1.605,-0.190
1.610,-0.087
1.615,-0.008
1.620,-0.017
1.625,-0.130
1.630,-0.180
1.635,-0.145
1.640,-0.105
1.645,-0.059
1.650,-0.146
1.655,-0.265
1.660,-0.147
1.665,-0.105
1.670,-0.220
1.675,-0.183
1.680,-0.086
1.685,-0.115
1.690,-0.152
1.695,-0.109
1.700,-0.101
1.705,-0.090
1.710,-0.071
1.715,-0.028
1.720,0.041
1.725,0.072
1.730,0.104
1.735,0.094
1.740,0.091
1.745,0.122
1.750,0.153
1.755,0.240
1.760,0.177
1.765,0.061
1.770,0.139
1.775,0.187
1.780,0.211
1.785,0.224
1.790,0.121
1.795,0.137
1.800,0.214
1.805,0.190
1.810,0.226
1.815,0.194
1.820,0.057
1.825,0.033
1.830,0.077
1.835,0.126
1.840,0.189
1.845,0.202
1.850,0.116
1.855,0.041
1.860,0.058
1.865,0.049
1.870,0.048
1.875,0.112
1.880,0.084
1.885,0.046
1.890,0.038
1.895,-0.017
1.900,0.008
1.905,0.063
1.910,0.079
1.915,0.056
1.920,-0.023
1.925,-0.026
1.930,0.008
1.935,0.018
1.940,0.060
1.945,0.040
1.950,-0.016
1.955,-0.009
1.960,0.016
1.965,0.015
1.970,-0.015
1.975,-0.008
1.980,0.039
1.985,0.019
1.990,-0.021
1.995,-0.008
2.000,-0.019
2.005,-0.029
2.010,0.007
2.015,-0.023
2.020,-0.042
2.025,-0.005
2.030,-0.036
2.035,-0.037
2.040,-0.007
2.045,-0.008
2.050,-0.007
2.055,-0.013
2.060,-0.010
2.065,-0.023
2.070,-0.066
2.075,-0.076
2.080,-0.053
2.085,-0.067
2.090,-0.077
2.095,-0.062
2.100,-0.093
2.105,-0.103
2.110,-0.050
2.115,-0.061
2.120,-0.105
2.125,-0.083
2.130,-0.075
2.135,-0.081
2.140,-0.057
2.145,-0.032
2.150,-0.002
2.155,0.006
2.160,0.005
2.165,-0.002
2.170,-0.017
2.175,0.024
2.180,0.064
2.185,0.037
2.190,0.049
2.195,0.082
2.200,0.041
2.205,0.020
2.210,0.037
2.215,0.038
2.220,0.028
2.225,-0.001
2.230,-0.043
2.235,-0.076
2.240,-0.088
2.245,-0.168
2.250,-0.406
2.255,-0.669
2.260,-0.676
2.265,-0.325
2.270,0.121
2.275,0.458
2.280,0.612
2.285,0.581
2.290,0.536
2.295,0.466
2.300,0.341
2.305,0.256
2.310,0.183
2.315,0.072
2.320,-0.024
2.325,-0.042
2.330,-0.055
2.335,-0.090
2.340,-0.086
2.345,-0.082
2.350,-0.102
2.355,-0.101
2.360,-0.093
2.365,-0.120
2.370,-0.127
2.375,-0.093
2.380,-0.084
2.385,-0.109
2.390,-0.109
2.395,-0.105
2.400,-0.132
2.405,-0.137
2.410,-0.111
2.415,-0.121
2.420,-0.148
2.425,-0.132
2.430,-0.120
2.435,-0.127
2.440,-0.113
2.445,-0.094
2.450,-0.104
2.455,-0.112
2.460,-0.096
2.465,-0.106
2.470,-0.132
2.475,-0.125
2.480,-0.115
2.485,-0.136
2.490,-0.151
2.495,-0.139
2.500,-0.152
2.505,-0.170
2.510,-0.154
2.515,-0.168
2.520,-0.230
2.525,-0.254
2.530,-0.245
2.535,-0.261
2.540,-0.255
2.545,-0.231
2.550,-0.215
2.555,-0.181
2.560,-0.151
2.565,-0.144
2.570,-0.144
2.575,-0.123
2.580,-0.095
2.585,-0.081
2.590,-0.032
2.595,0.012
2.600,-0.017
2.605,0.000
2.610,0.101
2.615,0.160
2.620,0.193
2.625,0.246
2.630,0.285
2.635,0.294
2.640,0.296
2.645,0.310
2.650,0.302
2.655,0.286
2.660,0.292
2.665,0.277
2.670,0.255
2.675,0.261
2.680,0.251
2.685,0.212
2.690,0.204
2.695,0.209
2.700,0.180
2.705,0.158
2.710,0.160
2.715,0.135
2.720,0.107
2.725,0.128
2.730,0.126
2.735,0.090
2.740,0.093
2.745,0.097
2.750,0.072
2.755,0.063
2.760,0.070
2.765,0.054
2.770,0.034
2.775,0.045
2.780,0.055
2.785,0.031
2.790,0.027
2.795,0.046
2.800,0.029
2.805,0.016
2.810,0.029
2.815,0.024
2.820,0.031
2.825,0.060
2.830,0.052
2.835,0.027
2.840,0.044
2.845,0.056
2.850,0.014
2.855,-0.013
2.860,0.015
2.865,0.025
2.870,0.011
2.875,0.033
2.880,0.041
2.885,0.013
2.890,0.013
2.895,0.022
2.900,0.002
2.905,0.003
2.910,0.032
2.915,0.042
2.920,0.025
2.925,0.024
2.930,0.019
2.935,-0.004
2.940,-0.006
2.945,0.007
