time,ECG,ECGFiltered,Group
0.002,-0.045,-0.04,Recording1
0.004,-0.06,-0.035,Recording1
0.006,-0.095,-0.03,Recording1
0.008,-0.035,-0.025,Recording1
0.01,-0.09,-0.025,Recording1
0.012,-0.08,-0.03,Recording1
0.013999999999999999,-0.07,-0.03,Recording1
0.016,-0.095,-0.035,Recording1
0.018000000000000002,-0.095,-0.035,Recording1
0.02,-0.11,-0.04,Recording1
0.022000000000000002,-0.07,-0.04,Recording1
0.024,-0.04,-0.04,Recording1
0.026000000000000002,-0.075,-0.04,Recording1
0.027999999999999997,-0.08,-0.04,Recording1
0.03,-0.055,-0.035,Recording1
0.032,-0.055,-0.035,Recording1
0.034,-0.045,-0.03,Recording1
0.036000000000000004,-0.05,-0.02,Recording1
0.038,-0.1,-0.015,Recording1
0.04,-0.035,-0.01,Recording1
0.042,-0.06,-0.01,Recording1
0.044000000000000004,-0.03,-0.005,Recording1
0.046,-0.045,-0.01,Recording1
0.048,-0.07,-0.015,Recording1
0.05,-0.095,-0.025,Recording1
0.052000000000000005,-0.095,-0.035,Recording1
0.054000000000000006,-0.03,-0.045,Recording1
0.055999999999999994,-0.1,-0.05,Recording1
0.057999999999999996,-0.04,-0.055,Recording1
0.06,-0.125,-0.06,Recording1
0.062,-0.1,-0.055,Recording1
0.064,-0.06,-0.05,Recording1
0.066,-0.05,-0.04,Recording1
0.068,-0.05,-0.03,Recording1
0.07,-0.01,-0.025,Recording1
0.07200000000000001,-0.07,-0.015,Recording1
0.07400000000000001,-0.09,-0.015,Recording1
0.076,-0.06,-0.015,Recording1
0.078,-0.06,-0.02,Recording1
0.08,-0.085,-0.025,Recording1
0.08199999999999999,-0.095,-0.03,Recording1
0.084,-0.095,-0.035,Recording1
0.086,-0.03,-0.035,Recording1
0.08800000000000001,-0.045,-0.035,Recording1
0.09,-0.06,-0.03,Recording1
0.092,-0.035,-0.03,Recording1
0.094,-0.065,-0.03,Recording1
0.096,-0.075,-0.03,Recording1
0.098,-0.04,-0.035,Recording1
0.1,-0.075,-0.04,Recording1
0.102,-0.095,-0.045,Recording1
0.10400000000000001,-0.07,-0.05,Recording1
0.106,-0.045,-0.055,Recording1
0.10800000000000001,-0.1,-0.055,Recording1
0.11,-0.075,-0.05,Recording1
0.11199999999999999,-0.09,-0.045,Recording1
0.114,-0.04,-0.04,Recording1
0.11599999999999999,-0.05,-0.035,Recording1
0.11800000000000001,-0.08,-0.035,Recording1
0.12,-0.06,-0.04,Recording1
0.122,-0.115,-0.045,Recording1
0.124,-0.09,-0.05,Recording1
0.126,-0.045,-0.06,Recording1
0.128,-0.035,-0.065,Recording1
0.13,-0.125,-0.065,Recording1
0.132,-0.075,-0.065,Recording1
0.134,-0.065,-0.065,Recording1
0.136,-0.075,-0.06,Recording1
0.138,-0.05,-0.055,Recording1
0.14,-0.09,-0.055,Recording1
0.142,-0.075,-0.055,Recording1
0.14400000000000002,-0.05,-0.055,Recording1
0.146,-0.08,-0.055,Recording1
0.14800000000000002,-0.065,-0.055,Recording1
0.15,-0.055,-0.055,Recording1
0.152,-0.095,-0.055,Recording1
0.154,-0.09,-0.055,Recording1
0.156,-0.015,-0.055,Recording1
0.158,-0.045,-0.06,Recording1
0.16,-0.145,-0.065,Recording1
0.162,-0.11,-0.07,Recording1
0.16399999999999998,-0.085,-0.07,Recording1
0.166,-0.04,-0.075,Recording1
0.168,-0.105,-0.075,Recording1
0.17,-0.12,-0.07,Recording1
0.172,-0.06,-0.065,Recording1
0.174,-0.045,-0.055,Recording1
0.17600000000000002,-0.035,-0.045,Recording1
0.17800000000000002,-0.05,-0.035,Recording1
0.18,-0.085,-0.03,Recording1
0.182,-0.045,-0.025,Recording1
0.184,-0.07,-0.025,Recording1
0.18600000000000003,-0.085,-0.035,Recording1
0.188,-0.015,-0.045,Recording1
0.19,-0.055,-0.055,Recording1
0.192,-0.1,-0.065,Recording1
0.19399999999999998,-0.09,-0.07,Recording1
0.196,-0.06,-0.07,Recording1
0.198,-0.05,-0.065,Recording1
0.2,-0.07,-0.06,Recording1
0.20199999999999999,-0.095,-0.05,Recording1
0.204,-0.035,-0.035,Recording1
0.20600000000000002,-0.03,-0.025,Recording1
0.20800000000000002,-0.04,-0.015,Recording1
0.21,-0.01,-0.01,Recording1
0.212,-0.03,-0.005,Recording1
0.214,-0.045,-0.005,Recording1
0.21600000000000003,0.015,-0.01,Recording1
0.218,-0.02,-0.02,Recording1
0.22,-0.05,-0.025,Recording1
0.222,-0.1,-0.03,Recording1
0.22399999999999998,-0.055,-0.03,Recording1
0.226,-0.01,-0.03,Recording1
0.228,-0.02,-0.02,Recording1
0.23,-0.05,-0.015,Recording1
0.23199999999999998,0.04,0.0,Recording1
0.23399999999999999,-0.03,0.01,Recording1
0.23600000000000002,0.015,0.015,Recording1
0.23800000000000002,0.0,0.02,Recording1
0.24,0.045,0.02,Recording1
0.242,0.02,0.02,Recording1
0.244,-0.06,0.015,Recording1
0.24600000000000002,0.005,0.005,Recording1
0.248,-0.01,0.005,Recording1
0.25,0.015,0.0,Recording1
0.252,0.04,0.005,Recording1
0.254,0.0,0.01,Recording1
0.256,0.0,0.015,Recording1
0.258,0.05,0.02,Recording1
0.26,0.05,0.025,Recording1
0.262,0.07,0.02,Recording1
0.264,0.01,0.015,Recording1
0.266,-0.025,0.0,Recording1
0.268,-0.08,-0.015,Recording1
0.27,-0.075,-0.03,Recording1
0.272,-0.045,-0.05,Recording1
0.27399999999999997,-0.045,-0.06,Recording1
0.276,-0.085,-0.07,Recording1
0.278,-0.095,-0.075,Recording1
0.28,-0.035,-0.075,Recording1
0.282,-0.035,-0.07,Recording1
0.284,-0.06,-0.065,Recording1
0.28600000000000003,-0.065,-0.06,Recording1
0.28800000000000003,-0.09,-0.06,Recording1
0.29,-0.1,-0.06,Recording1
0.292,-0.085,-0.065,Recording1
0.294,-0.05,-0.065,Recording1
0.29600000000000004,-0.06,-0.07,Recording1
0.298,-0.075,-0.075,Recording1
0.3,-0.05,-0.075,Recording1
0.302,-0.015,-0.075,Recording1
0.304,0.01,-0.075,Recording1
0.306,-0.15,-0.075,Recording1
0.308,-0.11,-0.075,Recording1
0.31,-0.025,-0.075,Recording1
0.312,-0.08,-0.075,Recording1
0.314,-0.085,-0.075,Recording1
0.316,-0.075,-0.07,Recording1
0.318,-0.09,-0.07,Recording1
0.32,-0.025,-0.07,Recording1
0.322,-0.075,-0.07,Recording1
0.324,-0.095,-0.065,Recording1
0.326,-0.04,-0.065,Recording1
0.32799999999999996,-0.05,-0.065,Recording1
0.33,-0.075,-0.065,Recording1
0.332,-0.08,-0.07,Recording1
0.33399999999999996,-0.035,-0.075,Recording1
0.336,-0.035,-0.085,Recording1
0.33799999999999997,-0.11,-0.1,Recording1
0.34,-0.175,-0.115,Recording1
0.342,-0.11,-0.13,Recording1
0.344,-0.165,-0.15,Recording1
0.34600000000000003,-0.16,-0.165,Recording1
0.348,-0.125,-0.17,Recording1
0.35,-0.145,-0.165,Recording1
0.35200000000000004,-0.12,-0.145,Recording1
0.354,-0.115,-0.095,Recording1
0.35600000000000004,-0.015,-0.025,Recording1
0.358,0.085,0.075,Recording1
0.36,0.2,0.195,Recording1
0.36200000000000004,0.355,0.33,Recording1
0.364,0.475,0.47,Recording1
0.366,0.61,0.6,Recording1
0.368,0.805,0.71,Recording1
0.37,0.975,0.79,Recording1
0.37200000000000005,0.92,0.825,Recording1
0.374,0.82,0.815,Recording1
0.376,0.69,0.755,Recording1
0.37799999999999995,0.64,0.65,Recording1
0.38,0.515,0.505,Recording1
0.382,0.305,0.34,Recording1
0.384,0.135,0.165,Recording1
0.386,0.085,-0.01,Recording1
0.38799999999999996,-0.075,-0.165,Recording1
0.39,-0.355,-0.29,Recording1
0.392,-0.51,-0.38,Recording1
0.39399999999999996,-0.485,-0.43,Recording1
0.396,-0.44,-0.44,Recording1
0.39799999999999996,-0.37,-0.415,Recording1
0.4,-0.285,-0.37,Recording1
0.402,-0.305,-0.31,Recording1
0.40399999999999997,-0.235,-0.25,Recording1
0.406,-0.105,-0.185,Recording1
0.408,-0.085,-0.135,Recording1
0.41,-0.1,-0.1,Recording1
0.41200000000000003,-0.05,-0.075,Recording1
0.414,-0.025,-0.065,Recording1
0.41600000000000004,-0.05,-0.06,Recording1
0.418,-0.02,-0.06,Recording1
0.42,-0.045,-0.065,Recording1
0.42200000000000004,-0.035,-0.065,Recording1
0.424,-0.045,-0.065,Recording1
0.426,-0.04,-0.065,Recording1
0.428,-0.02,-0.06,Recording1
0.43,-0.035,-0.055,Recording1
0.43200000000000005,-0.07,-0.055,Recording1
0.434,-0.005,-0.05,Recording1
0.436,-0.03,-0.05,Recording1
0.43799999999999994,-0.015,-0.045,Recording1
0.44,0.0,-0.045,Recording1
0.442,-0.03,-0.045,Recording1
0.444,-0.04,-0.045,Recording1
0.446,-0.005,-0.04,Recording1
0.44799999999999995,-0.025,-0.04,Recording1
0.45,0.015,-0.035,Recording1
0.452,0.025,-0.03,Recording1
0.45399999999999996,0.05,-0.03,Recording1
0.456,-0.065,-0.025,Recording1
0.45799999999999996,0.035,-0.02,Recording1
0.46,0.065,-0.015,Recording1
0.462,0.07,-0.01,Recording1
0.46399999999999997,0.0,-0.005,Recording1
0.466,-0.025,0.0,Recording1
0.46799999999999997,0.015,0.0,Recording1
0.47,0.035,0.0,Recording1
0.47200000000000003,0.065,0.0,Recording1
0.474,0.05,0.0,Recording1
0.47600000000000003,0.04,0.0,Recording1
0.478,0.005,0.0,Recording1
0.48,0.025,0.005,Recording1
0.48200000000000004,0.01,0.01,Recording1
0.484,0.045,0.015,Recording1
0.486,0.085,0.02,Recording1
0.488,0.07,0.025,Recording1
0.49,0.065,0.03,Recording1
0.49200000000000005,0.05,0.035,Recording1
0.494,0.06,0.035,Recording1
0.496,0.075,0.035,Recording1
0.498,0.105,0.035,Recording1
0.5,0.07,0.035,Recording1
0.502,0.095,0.04,Recording1
0.504,0.1,0.05,Recording1
0.506,0.13,0.06,Recording1
0.508,0.13,0.075,Recording1
0.51,0.17,0.085,Recording1
0.512,0.125,0.1,Recording1
0.514,0.125,0.105,Recording1
0.516,0.11,0.11,Recording1
0.518,0.18,0.115,Recording1
0.52,0.15,0.115,Recording1
0.522,0.105,0.115,Recording1
0.524,0.155,0.115,Recording1
0.526,0.17,0.12,Recording1
0.528,0.2,0.13,Recording1
0.53,0.225,0.15,Recording1
0.532,0.215,0.165,Recording1
0.534,0.185,0.185,Recording1
0.536,0.24,0.2,Recording1
0.5379999999999999,0.28,0.215,Recording1
0.54,0.28,0.225,Recording1
0.542,0.26,0.23,Recording1
0.544,0.2,0.23,Recording1
0.546,0.265,0.23,Recording1
0.5479999999999999,0.305,0.23,Recording1
0.55,0.34,0.235,Recording1
0.552,0.325,0.245,Recording1
0.5539999999999999,0.33,0.26,Recording1
0.556,0.305,0.28,Recording1
0.5579999999999999,0.345,0.295,Recording1
0.56,0.355,0.31,Recording1
0.562,0.36,0.32,Recording1
0.564,0.365,0.33,Recording1
0.5660000000000001,0.385,0.335,Recording1
0.568,0.415,0.34,Recording1
0.57,0.44,0.35,Recording1
0.5720000000000001,0.47,0.355,Recording1
0.574,0.49,0.37,Recording1
0.5760000000000001,0.43,0.39,Recording1
0.578,0.425,0.41,Recording1
0.58,0.465,0.425,Recording1
0.5820000000000001,0.47,0.445,Recording1
0.584,0.485,0.455,Recording1
0.586,0.515,0.46,Recording1
0.588,0.545,0.46,Recording1
0.59,0.545,0.455,Recording1
0.5920000000000001,0.505,0.44,Recording1
0.594,0.455,0.43,Recording1
0.596,0.435,0.41,Recording1
0.598,0.45,0.395,Recording1
0.6,0.43,0.38,Recording1
0.602,0.395,0.36,Recording1
0.604,0.375,0.34,Recording1
0.606,0.36,0.315,Recording1
0.608,0.32,0.29,Recording1
0.61,0.355,0.265,Recording1
0.612,0.285,0.235,Recording1
0.614,0.25,0.21,Recording1
0.616,0.195,0.185,Recording1
0.618,0.225,0.16,Recording1
0.62,0.195,0.145,Recording1
0.622,0.185,0.125,Recording1
0.624,0.15,0.115,Recording1
0.626,0.13,0.1,Recording1
0.628,0.11,0.085,Recording1
0.63,0.11,0.07,Recording1
0.632,0.095,0.055,Recording1
0.634,0.065,0.04,Recording1
0.636,0.075,0.02,Recording1
0.638,0.065,0.0,Recording1
0.64,0.02,-0.015,Recording1
0.642,0.06,-0.025,Recording1
0.644,0.02,-0.035,Recording1
0.6459999999999999,0.005,-0.045,Recording1
0.648,0.015,-0.045,Recording1
0.65,0.025,-0.05,Recording1
0.652,0.02,-0.05,Recording1
0.654,0.005,-0.055,Recording1
0.6559999999999999,0.02,-0.055,Recording1
0.6579999999999999,-0.02,-0.06,Recording1
0.66,0.0,-0.06,Recording1
0.662,-0.025,-0.065,Recording1
0.664,0.03,-0.07,Recording1
0.6659999999999999,0.01,-0.07,Recording1
0.6679999999999999,0.015,-0.07,Recording1
0.67,-0.025,-0.07,Recording1
0.672,0.03,-0.065,Recording1
