'Elapsed time','ECG I','ECG I filtered'
'seconds','mV','mV'
0.000,0.140,0.070
0.002,0.110,0.025
0.004,0.050,-0.005
0.006,-0.080,-0.025
0.008,-0.010,-0.030
0.010,0.045,-0.025
0.012,0.075,-0.010
0.014,0.150,0.010
0.016,0.230,0.020
0.018,0.155,0.020
0.020,0.135,0.015
0.022,-0.005,0.000
0.024,0.055,-0.020
0.026,-0.135,-0.035
0.028,-0.080,-0.045
0.030,0.030,-0.045
0.032,0.095,-0.035
0.034,0.120,-0.020
0.036,0.190,0.000
0.038,0.185,0.015
0.040,0.125,0.020
0.042,0.030,0.020
0.044,0.005,0.010
0.046,-0.070,-0.005
0.048,-0.050,-0.015
0.050,0.010,-0.025
0.052,0.090,-0.030
0.054,0.100,-0.025
0.056,0.200,-0.020
0.058,0.170,-0.010
0.060,0.125,0.000
0.062,0.030,0.000
0.064,-0.015,0.000
0.066,-0.095,-0.010
0.068,-0.090,-0.020
0.070,0.000,-0.030
0.072,0.105,-0.040
0.074,0.110,-0.045
0.076,0.190,-0.050
0.078,0.130,-0.045
0.080,0.040,-0.040
0.082,-0.025,-0.035
0.084,-0.050,-0.030
0.086,-0.120,-0.025
0.088,-0.050,-0.030
0.090,0.045,-0.030
0.092,0.115,-0.035
0.094,0.160,-0.035
0.096,0.170,-0.035
0.098,0.155,-0.035
0.100,0.085,-0.030
0.102,0.010,-0.025
0.104,-0.050,-0.020
0.106,-0.085,-0.015
0.108,-0.105,-0.010
0.110,0.005,-0.010
0.112,0.135,-0.010
0.114,0.165,-0.010
0.116,0.190,-0.010
0.118,0.185,-0.010
0.120,0.100,-0.010
0.122,0.040,-0.005
0.124,-0.040,0.000
0.126,-0.110,0.005
0.128,-0.030,0.010
0.130,0.045,0.010
0.132,0.125,0.005
0.134,0.195,0.000
0.136,0.170,-0.005
0.138,0.175,-0.010
0.140,0.055,-0.015
0.142,0.040,-0.015
0.144,0.000,-0.015
0.146,-0.105,-0.015
0.148,-0.035,-0.010
0.150,0.050,-0.010
0.152,0.110,-0.010
0.154,0.145,-0.010
0.156,0.175,-0.015
0.158,0.155,-0.020
0.160,0.105,-0.030
0.162,0.045,-0.035
0.164,-0.080,-0.035
0.166,-0.075,-0.035
0.168,-0.045,-0.025
0.170,0.015,-0.015
0.172,0.140,-0.005
0.174,0.220,0.010
0.176,0.230,0.020
0.178,0.170,0.020
0.180,0.070,0.025
0.182,0.015,0.020
0.184,-0.045,0.015
0.186,-0.040,0.010
0.188,0.035,0.005
0.190,0.085,0.000
0.192,0.095,0.005
0.194,0.200,0.005
0.196,0.225,0.010
0.198,0.165,0.015
0.200,0.085,0.020
0.202,0.030,0.020
0.204,-0.080,0.020
0.206,-0.025,0.015
0.208,0.045,0.015
0.210,0.100,0.015
0.212,0.125,0.015
0.214,0.220,0.015
0.216,0.230,0.020
0.218,0.180,0.025
0.220,0.060,0.030
0.222,0.020,0.030
0.224,0.005,0.030
0.226,-0.005,0.025
0.228,-0.040,0.020
0.230,0.115,0.010
0.232,0.145,0.000
0.234,0.200,-0.010
0.236,0.195,-0.020
0.238,0.150,-0.025
0.240,0.090,-0.025
0.242,-0.045,-0.025
0.244,-0.090,-0.020
0.246,-0.055,-0.015
0.248,0.010,-0.005
0.250,0.110,0.000
0.252,0.155,0.000
0.254,0.205,0.005
0.256,0.200,0.000
0.258,0.130,-0.005
0.260,0.055,-0.010
0.262,0.040,-0.015
0.264,-0.085,-0.020
0.266,-0.065,-0.020
0.268,-0.010,-0.020
0.270,0.090,-0.015
0.272,0.080,-0.015
0.274,0.235,-0.010
0.276,0.190,-0.005
0.278,0.115,0.000
0.280,0.065,0.005
0.282,0.025,0.005
0.284,-0.045,0.010
0.286,-0.025,0.010
0.288,0.020,0.010
0.290,0.075,0.010
0.292,0.110,0.010
0.294,0.220,0.005
0.296,0.215,0.000
0.298,0.150,-0.005
0.300,0.035,-0.015
0.302,-0.020,-0.020
0.304,-0.100,-0.030
0.306,-0.070,-0.030
0.308,-0.005,-0.030
0.310,0.055,-0.030
0.312,0.105,-0.025
0.314,0.200,-0.020
0.316,0.195,-0.020
0.318,0.115,-0.015
0.320,-0.020,-0.015
0.322,-0.020,-0.015
0.324,-0.030,-0.015
0.326,0.000,-0.015
0.328,0.015,-0.015
0.330,0.090,-0.010
0.332,0.135,-0.010
0.334,0.170,-0.010
0.336,0.185,-0.015
0.338,0.080,-0.020
0.340,0.050,-0.030
0.342,0.005,-0.040
0.344,-0.120,-0.045
0.346,-0.065,-0.050
0.348,-0.010,-0.050
0.350,0.070,-0.045
0.352,0.130,-0.035
0.354,0.230,-0.020
0.356,0.205,-0.010
0.358,0.105,-0.005
0.360,0.040,0.000
0.362,-0.025,0.000
0.364,-0.050,-0.010
0.366,-0.075,-0.015
0.368,0.010,-0.025
0.370,0.080,-0.030
0.372,0.130,-0.035
0.374,0.130,-0.035
0.376,0.145,-0.030
0.378,0.070,-0.020
0.380,0.045,-0.015
0.382,-0.005,-0.010
0.384,-0.055,-0.010
0.386,-0.035,-0.015
0.388,0.030,-0.020
0.390,0.045,-0.030
0.392,0.150,-0.035
0.394,0.215,-0.040
0.396,0.135,-0.040
0.398,0.080,-0.040
0.400,0.015,-0.035
0.402,-0.035,-0.030
0.404,-0.060,-0.025
0.406,-0.080,-0.025
0.408,0.010,-0.025
0.410,0.070,-0.025
0.412,0.155,-0.030
0.414,0.220,-0.030
0.416,0.145,-0.030
0.418,0.055,-0.030
0.420,-0.010,-0.030
0.422,-0.015,-0.025
0.424,-0.005,-0.020
0.426,-0.025,-0.015
0.428,0.030,-0.015
0.430,0.110,-0.010
0.432,0.155,-0.010
0.434,0.200,-0.010
0.436,0.155,-0.015
0.438,0.055,-0.015
0.440,0.010,-0.015
0.442,-0.045,-0.020
0.444,-0.065,-0.020
0.446,-0.030,-0.025
0.448,0.050,-0.030
0.450,0.125,-0.035
0.452,0.110,-0.040
0.454,0.155,-0.045
0.456,0.130,-0.045
0.458,0.060,-0.050
0.460,0.010,-0.050
0.462,-0.105,-0.050
0.464,-0.080,-0.045
0.466,-0.040,-0.040
0.468,0.045,-0.035
0.470,0.115,-0.035
0.472,0.170,-0.030
0.474,0.190,-0.030
0.476,0.145,-0.030
0.478,0.065,-0.030
0.480,0.020,-0.035
0.482,-0.100,-0.035
0.484,-0.065,-0.035
0.486,-0.060,-0.030
0.488,0.050,-0.030
0.490,0.115,-0.025
0.492,0.180,-0.020
0.494,0.190,-0.015
0.496,0.165,-0.010
0.498,0.075,-0.005
0.500,0.065,0.000
0.502,-0.050,0.000
0.504,-0.050,0.005
0.506,0.050,0.005
0.508,0.075,0.010
0.510,0.095,0.010
0.512,0.230,0.010
0.514,0.230,0.005
0.516,0.135,0.005
0.518,0.065,0.005
0.520,0.040,0.005
0.522,-0.095,0.005
