'Elapsed time','ECG'
'seconds','mV'
0.000,-0.002
0.005,-0.007
0.010,0.000
0.015,0.009
0.020,0.000
0.025,-0.011
0.030,-0.020
0.035,-0.012
0.040,0.018
0.045,0.016
0.050,-0.006
0.055,-0.021
0.060,-0.026
0.065,-0.018
0.070,-0.010
0.075,-0.006
0.080,-0.013
0.085,-0.014
0.090,-0.003
0.095,-0.007
0.100,-0.016
0.105,-0.029
0.110,-0.042
0.115,-0.016
0.120,-0.001
0.125,-0.017
0.130,-0.007
0.135,0.013
0.140,0.008
0.145,-0.008
0.150,-0.032
0.155,-0.055
0.160,-0.043
0.165,-0.029
0.170,-0.042
0.175,-0.047
0.180,-0.041
0.185,-0.028
0.190,-0.022
0.195,-0.061
0.200,-0.087
0.205,-0.063
0.210,-0.046
0.215,-0.027
0.220,-0.002
0.225,0.011
0.230,0.025
0.235,0.026
0.240,0.024
0.245,0.021
0.250,0.013
0.255,0.025
0.260,0.056
0.265,0.066
0.270,0.044
0.275,0.017
0.280,-0.013
0.285,-0.035
0.290,-0.033
0.295,-0.021
0.300,0.002
0.305,0.004
0.310,-0.005
0.315,0.001
0.320,-0.005
0.325,-0.013
0.330,0.000
0.335,0.018
0.340,0.015
0.345,0.000
0.350,-0.005
0.355,-0.001
0.360,0.007
0.365,0.024
0.370,0.051
0.375,0.035
0.380,-0.137
0.385,-0.495
0.390,-0.990
0.395,-1.470
0.400,-1.610
0.405,-1.291
0.410,-0.705
0.415,-0.114
0.420,0.254
0.425,0.431
0.430,0.548
0.435,0.620
0.440,0.652
0.445,0.603
0.450,0.472
0.455,0.364
0.460,0.338
0.465,0.335
0.470,0.296
0.475,0.255
0.480,0.237
0.485,0.233
0.490,0.231
0.495,0.213
0.500,0.202
0.505,0.201
0.510,0.192
0.515,0.181
0.520,0.173
0.525,0.163
0.530,0.150
0.535,0.134
0.540,0.127
0.545,0.127
0.550,0.124
0.555,0.110
0.560,0.093
0.565,0.086
0.570,0.076
0.575,0.065
0.580,0.063
0.585,0.061
0.590,0.049
0.595,0.025
0.600,0.016
0.605,0.022
0.610,0.022
0.615,0.012
0.620,-0.007
0.625,-0.022
0.630,-0.038
0.635,-0.049
0.640,-0.048
0.645,-0.052
0.650,-0.059
0.655,-0.073
0.660,-0.083
0.665,-0.076
0.670,-0.073
0.675,-0.081
0.680,-0.084
0.685,-0.080
0.690,-0.078
0.695,-0.081
0.700,-0.081
0.705,-0.078
0.710,-0.076
0.715,-0.068
0.720,-0.060
0.725,-0.043
0.730,-0.028
0.735,-0.025
0.740,-0.015
0.745,-0.002
0.750,0.004
0.755,0.008
0.760,0.014
0.765,0.023
0.770,0.025
0.775,0.028
0.780,0.035
0.785,0.039
0.790,0.035
0.795,0.023
0.800,0.021
0.805,0.026
0.810,0.026
0.815,0.029
0.820,0.025
0.825,0.017
0.830,0.008
0.835,0.004
0.840,0.007
0.845,0.000
0.850,-0.005
0.855,-0.005
0.860,-0.006
0.865,-0.003
0.870,-0.006
0.875,-0.009
0.880,-0.011
0.885,-0.018
0.890,-0.018
0.895,-0.020
0.900,-0.022
0.905,-0.023
0.910,-0.026
0.915,-0.019
0.920,-0.012
0.925,-0.009
0.930,-0.011
0.935,-0.018
0.940,-0.020
0.945,-0.018
0.950,-0.011
0.955,-0.006
0.960,-0.003
0.965,0.005
0.970,0.003
0.975,-0.010
0.980,-0.018
0.985,-0.018
0.990,-0.011
0.995,-0.007
1.000,-0.010
1.005,-0.009
1.010,-0.005
1.015,-0.001
1.020,-0.003
1.025,-0.004
1.030,-0.004
1.035,-0.008
1.040,-0.011
1.045,-0.011
1.050,-0.008
1.055,-0.007
1.060,-0.010
1.065,-0.007
1.070,0.000
1.075,0.006
1.080,0.000
1.085,-0.015
1.090,-0.018
1.095,-0.015
1.100,-0.012
1.105,-0.011
1.110,-0.015
1.115,-0.012
1.120,-0.009
1.125,-0.011
1.130,-0.010
1.135,-0.008
1.140,-0.010
1.145,-0.014
1.150,-0.013
1.155,-0.011
1.160,-0.015
1.165,-0.013
1.170,-0.006
1.175,-0.003
1.180,-0.012
1.185,-0.017
1.190,-0.012
1.195,-0.011
1.200,-0.010
1.205,-0.012
1.210,-0.016
1.215,-0.011
1.220,-0.016
1.225,-0.025
1.230,-0.030
1.235,-0.036
1.240,-0.038
1.245,-0.045
1.250,-0.052
1.255,-0.056
1.260,-0.058
1.265,-0.053
1.270,-0.047
1.275,-0.037
1.280,-0.024
1.285,-0.007
1.290,0.014
1.295,0.026
1.300,0.023
1.305,0.019
1.310,0.025
1.315,0.038
1.320,0.047
1.325,0.050
1.330,0.045
1.335,0.037
1.340,0.023
1.345,0.006
1.350,-0.003
1.355,-0.010
1.360,-0.018
1.365,-0.007
1.370,0.004
1.375,0.002
1.380,0.003
1.385,0.008
1.390,0.009
1.395,0.005
1.400,0.003
1.405,0.006
1.410,0.009
1.415,0.011
1.420,0.007
1.425,0.013
1.430,0.029
1.435,0.050
1.440,0.041
1.445,-0.094
1.450,-0.419
1.455,-0.928
1.460,-1.442
1.465,-1.594
1.470,-1.292
1.475,-0.748
1.480,-0.156
1.485,0.260
1.490,0.450
1.495,0.556
1.500,0.613
1.505,0.627
1.510,0.577
1.515,0.436
1.520,0.325
1.525,0.313
1.530,0.310
1.535,0.283
1.540,0.273
1.545,0.263
1.550,0.246
1.555,0.233
1.560,0.224
1.565,0.211
1.570,0.197
1.575,0.189
1.580,0.181
1.585,0.167
1.590,0.159
1.595,0.150
1.600,0.139
1.605,0.129
1.610,0.119
1.615,0.113
1.620,0.104
1.625,0.094
1.630,0.087
1.635,0.077
1.640,0.070
1.645,0.058
1.650,0.049
1.655,0.041
1.660,0.030
1.665,0.024
1.670,0.014
1.675,0.005
1.680,-0.004
1.685,-0.015
1.690,-0.024
1.695,-0.035
1.700,-0.044
1.705,-0.053
1.710,-0.064
1.715,-0.070
1.720,-0.078
1.725,-0.083
1.730,-0.085
1.735,-0.090
1.740,-0.091
1.745,-0.094
1.750,-0.095
1.755,-0.092
1.760,-0.092
1.765,-0.087
1.770,-0.081
1.775,-0.072
1.780,-0.060
1.785,-0.051
1.790,-0.040
1.795,-0.032
1.800,-0.021
1.805,-0.010
1.810,-0.004
1.815,0.007
1.820,0.013
1.825,0.017
1.830,0.023
1.835,0.024
1.840,0.026
1.845,0.025
1.850,0.024
1.855,0.026
1.860,0.024
1.865,0.025
1.870,0.023
1.875,0.023
1.880,0.023
1.885,0.020
1.890,0.020
1.895,0.016
1.900,0.015
1.905,0.015
1.910,0.012
1.915,0.012
1.920,0.010
1.925,0.008
1.930,0.008
1.935,0.006
1.940,0.007
1.945,0.004
1.950,0.003
1.955,0.003
1.960,-0.001
1.965,0.001
1.970,-0.001
